temperature	air_quality	carbon_monoxide	gas_and_smoke	label
30.19	208	343	193	Non-Fire
30.19	206	343	176	Non-Fire
30.19	214	355	177	Non-Fire
30.19	208	357	180	Non-Fire
30.19	208	352	192	Non-Fire
30.19	208	358	194	Non-Fire
30.19	208	349	176	Non-Fire
30.19	212	341	192	Non-Fire
30.19	206	354	183	Non-Fire
30.19	209	355	175	Non-Fire
30.19	203	355	177	Non-Fire
30.19	208	350	181	Non-Fire
30.19	206	345	184	Non-Fire
30.19	209	342	186	Non-Fire
30.13	210	342	194	Non-Fire
30.19	208	363	176	Non-Fire
30.19	210	345	195	Non-Fire
30.19	212	342	193	Non-Fire
30.19	207	343	194	Non-Fire
30.19	214	342	176	Non-Fire
30.19	219	340	177	Non-Fire
30.19	212	346	181	Non-Fire
30.19	216	355	181	Non-Fire
30.13	214	356	176	Non-Fire
30.19	214	353	176	Non-Fire
30.19	208	359	176	Non-Fire
30.19	217	359	176	Non-Fire
30.19	208	345	173	Non-Fire
30.19	203	357	176	Non-Fire
30.19	212	339	187	Non-Fire
30.19	208	355	176	Non-Fire
30.19	213	355	191	Non-Fire
30.19	208	349	175	Non-Fire
30.19	213	352	193	Non-Fire
30.13	214	342	176	Non-Fire
30.19	211	354	175	Non-Fire
30.13	208	342	192	Non-Fire
30.19	203	357	177	Non-Fire
30.19	205	345	176	Non-Fire
30.13	203	355	192	Non-Fire
30.19	208	350	176	Non-Fire
30.13	208	346	176	Non-Fire
30.13	199	353	175	Non-Fire
30.13	210	354	176	Non-Fire
30.13	215	352	176	Non-Fire
30.06	208	348	188	Non-Fire
30.13	209	343	177	Non-Fire
30.13	211	353	191	Non-Fire
30.13	213	355	182	Non-Fire
30.13	204	353	183	Non-Fire
30.13	208	353	188	Non-Fire
30.13	211	355	176	Non-Fire
30.06	202	340	183	Non-Fire
30.06	199	354	171	Non-Fire
30.06	208	343	192	Non-Fire
30.06	209	357	177	Non-Fire
30.06	210	358	186	Non-Fire
30.06	205	353	182	Non-Fire
30.06	213	356	178	Non-Fire
30.06	210	340	175	Non-Fire
30.06	211	348	176	Non-Fire
30.06	202	343	176	Non-Fire
30.06	205	351	180	Non-Fire
30.06	206	351	191	Non-Fire
30.06	206	339	176	Non-Fire
30.06	207	361	192	Non-Fire
30.06	208	338	177	Non-Fire
30.06	201	341	175	Non-Fire
30.06	207	341	185	Non-Fire
30.06	209	343	170	Non-Fire
30.06	208	356	188	Non-Fire
30.06	202	357	178	Non-Fire
30.06	206	349	189	Non-Fire
30.06	214	343	178	Non-Fire
30.06	208	354	175	Non-Fire
30.06	208	338	179	Non-Fire
30.06	212	337	178	Non-Fire
30.06	206	343	175	Non-Fire
30.13	208	354	175	Non-Fire
30.06	209	353	181	Non-Fire
30.13	209	351	186	Non-Fire
30.06	208	339	191	Non-Fire
30.06	205	349	178	Non-Fire
30.06	208	350	188	Non-Fire
30.06	208	342	183	Non-Fire
30.13	210	355	188	Non-Fire
30.13	198	347	191	Non-Fire
30.13	200	340	177	Non-Fire
30.13	209	346	190	Non-Fire
30.13	198	349	181	Non-Fire
30.13	206	342	171	Non-Fire
30.13	210	343	177	Non-Fire
30.13	209	352	175	Non-Fire
30.13	210	339	178	Non-Fire
30.13	202	352	187	Non-Fire
30.13	198	344	176	Non-Fire
30.13	205	355	174	Non-Fire
30.13	208	336	177	Non-Fire
30.13	196	352	186	Non-Fire
30.13	208	346	176	Non-Fire
30.13	206	337	187	Non-Fire
30.13	204	336	179	Non-Fire
30.13	199	352	187	Non-Fire
30.13	210	356	171	Non-Fire
30.13	203	337	189	Non-Fire
30.13	210	352	169	Non-Fire
30.13	212	353	185	Non-Fire
30.13	208	341	171	Non-Fire
30.06	201	341	176	Non-Fire
30.06	203	345	188	Non-Fire
30.06	209	342	188	Non-Fire
30.13	208	352	169	Non-Fire
30.13	208	351	189	Non-Fire
30.06	208	352	174	Non-Fire
30.06	207	338	185	Non-Fire
30.06	204	340	189	Non-Fire
30.06	208	339	176	Non-Fire
30.06	208	354	173	Non-Fire
30.06	198	343	174	Non-Fire
30.06	207	338	188	Non-Fire
30.06	203	353	170	Non-Fire
30.06	206	354	183	Non-Fire
30.06	208	343	179	Non-Fire
30.06	203	338	190	Non-Fire
30.06	208	350	185	Non-Fire
30.06	210	355	191	Non-Fire
30.06	209	352	182	Non-Fire
30.06	213	351	189	Non-Fire
30.06	208	352	169	Non-Fire
30.06	210	348	181	Non-Fire
30	211	356	196	Non-Fire
30.06	214	346	192	Non-Fire
30.06	210	347	200	Non-Fire
30.06	210	357	208	Non-Fire
30.06	228	355	190	Non-Fire
30.06	224	349	195	Non-Fire
30.06	218	347	196	Non-Fire
30.06	225	348	210	Non-Fire
30	222	352	209	Non-Fire
30.06	234	358	219	Non-Fire
30	231	352	205	Non-Fire
30.06	231	362	209	Non-Fire
30.06	221	366	209	Non-Fire
30	235	352	208	Non-Fire
30.06	227	363	213	Non-Fire
30	228	357	209	Non-Fire
30	229	361	215	Non-Fire
30	229	349	222	Non-Fire
30	226	368	205	Non-Fire
30	230	368	224	Non-Fire
30	225	350	214	Non-Fire
30	225	348	208	Non-Fire
30	223	368	205	Non-Fire
30	226	365	220	Non-Fire
30	224	369	207	Non-Fire
30	226	368	208	Non-Fire
30.06	232	368	215	Non-Fire
30	231	362	199	Non-Fire
30	218	368	200	Non-Fire
30	227	353	214	Non-Fire
30	229	366	213	Non-Fire
30	218	354	208	Non-Fire
30.06	227	362	214	Non-Fire
30.06	234	351	192	Non-Fire
30	219	354	211	Non-Fire
30	227	351	202	Non-Fire
30	214	358	199	Non-Fire
30	226	366	210	Non-Fire
30	218	348	196	Non-Fire
30	219	352	207	Non-Fire
30	212	353	195	Non-Fire
30	214	358	194	Non-Fire
30	214	346	201	Non-Fire
30	219	350	195	Non-Fire
30	223	361	205	Non-Fire
30	224	350	208	Non-Fire
30	216	346	208	Non-Fire
30	229	352	208	Non-Fire
30	223	351	190	Non-Fire
30.06	220	349	207	Non-Fire
30.06	221	345	203	Non-Fire
30.06	221	349	187	Non-Fire
30.06	219	353	192	Non-Fire
30	217	362	201	Non-Fire
30.06	220	347	195	Non-Fire
30.06	220	355	187	Non-Fire
30.06	221	350	191	Non-Fire
30.06	222	349	204	Non-Fire
30.06	225	358	206	Non-Fire
30.06	223	355	183	Non-Fire
30.06	209	366	202	Non-Fire
30.06	208	359	197	Non-Fire
30.06	208	358	195	Non-Fire
30.06	208	349	204	Non-Fire
30	219	343	205	Non-Fire
30	220	358	186	Non-Fire
30	219	357	191	Non-Fire
30	209	341	192	Non-Fire
30	211	356	190	Non-Fire
